id_vintage_id,wine_id,name,country,region,wynnery,wine_color,grappe
143092928,1415698,Antinori Tenuta Guado al Tasso Matarocchio 2016,Italie,Maremma Toscana,Antinori,Vin rouge,Cabernet Franc
143067538,12262,Matarromera Ribera del Duero Prestigio 2016,Espagne,Ribera del Duero,Matarromera,Vin rouge,Tempranillo
142763350,1258239,Tornesi Brunello di Montalcino Riserva 2015,Italie,Brunello di Montalcino,Tornesi,Vin rouge,Sangiovese
142531269,1189647,Alto Moncayo Aquilon Garnacha 2016,Espagne,Campo de Borja,Alto Moncayo,Vin rouge,Grenache
142518336,77472,Altesino Brunello di Montalcino  Montosoli 2016,Italie,Brunello di Montalcino,Altesino,Vin rouge,Sangiovese
142424288,2482317,Conde Predappio Massera 2016,Italie,Émilie-Romagne,Conde,Vin rouge,Merlot
142402816,1247975,Antinori Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva 2016,Italie,Brunello di Montalcino,Antinori,Vin rouge,Sangiovese
142334994,3958398,Quintodecimo Vigna Grande Cerzito Taurasi Riserva 2016,Italie,Taurasi,Quintodecimo,Vin rouge,Aglianico
142330545,1169881,Tenuta di Trinoro Toscana Rosso 2016,Italie,Toscane,Tenuta di Trinoro,Vin rouge,Assemblage
142308699,4402538,Château La Mission Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2001,France,Pessac-Léognan,Château La Mission Haut-Brion,Vin blanc,Assemblage
142262200,1128526,Château Ausone Chapelle d'Ausone Saint-Émilion Grand Cru 2016,France,Saint-Émilion Grand Cru,Château Ausone,Vin rouge,Cabernet Franc
142168144,1489684,Descendientes de J. Palacios Moncerbal Bierzo (Corullón) 2016,Espagne,Bierzo,Descendientes de J. Palacios,Vin rouge,Mencia
141951773,2076733,Marqués de Cáceres Gaudium 2016,Espagne,Rioja,Bodegas Marqués de Cáceres,Vin rouge,Assemblage
141903732,1182034,Terlan (Terlano) Lagrein Riserva Porphyr 2016,Italie,Südtirol - Alto Adige,Terlan (Terlano),Vin rouge,Lagrein
141878101,85205,Canalicchio di Sopra Brunello di Montalcino 2016,Italie,Brunello di Montalcino,Canalicchio di Sopra,Vin rouge,Sangiovese
141833388,1130208,Cavallotto Barolo Riserva Bricco Boschis Vigna San Giuseppe 2016,Italie,Barolo,Cavallotto,Vin rouge,Nebbiolo
141775920,4344024,Tinazzi A50 Amarone della Valpolicella 2012,Italie,Amarone della Valpolicella,Tinazzi,Vin rouge,Assemblage
141769972,1171108,Monteverro Toscana 2016,Italie,Toscane,Monteverro,Vin rouge,Assemblage
141762020,3196197,Florio Aegusa 1994,Italie,Marsala,Florio,Vin doux,Grillo
141758669,36404,E. Guigal Côte-Rôtie La Landonne 2016,France,Côte-Rôtie,E. Guigal,Vin rouge,Shiraz/Syrah
141676703,1507186,Parusso Barolo Bussia Vigna Munie 2013,Italie,Barolo,Parusso,Vin rouge,Nebbiolo
141663502,77182,Oremus Tokaji Aszú 3 Puttonyos 2016,Hongrie,Tokaj,Oremus,Vin doux,Furmint
141615435,1182677,Trimbach Clos Sainte Hune Riesling Alsace 2016,France,Alsace,Trimbach,Vin blanc,Riesling
141525804,4241024,Siro Pacenti Brunello di Montalcino Riserva 2007,Italie,Brunello di Montalcino,Siro Pacenti,Vin rouge,Sangiovese
141449193,1142817,Château des Tours Côtes du Rhône 2016,France,Côtes-du-Rhône,Château des Tours,Vin rouge,Assemblage
141374296,22721,Fontodi Flaccianello della Pieve 2016,Italie,Colli della Toscana Centrale,Fontodi,Vin rouge,Sangiovese
141368672,1167071,Il Marroneto Brunello di Montalcino 2016,Italie,Brunello di Montalcino,Il Marroneto,Vin rouge,Sangiovese
141322647,16418,Le Macchiole Messorio 2016,Italie,Toscane,Le Macchiole,Vin rouge,Merlot
141140219,16637,Conterno Fantino Barolo Sorì Ginestra 2016,Italie,Barolo,Conterno Fantino,Vin rouge,Nebbiolo
141085668,13759,Clos Apalta Clos Apalta 2016,Chili,Apalta Valley,Clos Apalta,Vin rouge,Assemblage
138812350,49754,Artadi Viña El Pison 2016,Espagne,Vino de España,Artadi,Vin rouge,Tempranillo
138530944,7921,Arzuaga Gran Reserva Ribera del Duero 2016,Espagne,Ribera del Duero,Arzuaga,Vin rouge,Tempranillo
135604050,82613,Château Pape Clément Pessac-Léognan (Grand Cru Classé de Graves) 2016,France,Pessac-Léognan,Château Pape Clément,Vin rouge,Assemblage
135218685,1115658,Château Léoville Poyferré Saint-Julien (Grand Cru Classé) 2016,France,Saint-Julien,Château Léoville Poyferré,Vin rouge,Assemblage
